SEMANA_DEL_AÑO,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,14
"(2020, 1)",12.0,6.0,2.0,13.0,30.0,13.0,22.0,23.0,45.0,36.0,9.0,2.0,1.0,0.0,0
"(2020, 2)",16.0,12.0,26.0,19.0,17.0,30.0,22.0,55.0,61.0,47.0,13.0,0.0,0.0,0.0,0
"(2020, 3)",12.0,16.0,10.0,25.0,30.0,7.0,46.0,35.0,18.0,7.0,21.0,3.0,0.0,0.0,0
"(2020, 4)",5.0,13.0,6.0,21.0,27.0,12.0,20.0,33.0,50.0,12.0,44.0,1.0,1.0,0.0,0
"(2020, 5)",15.0,0.0,6.0,22.0,25.0,10.0,20.0,20.0,46.0,26.0,10.0,7.0,1.0,0.0,0
"(2020, 6)",19.0,11.0,6.0,13.0,14.0,14.0,18.0,32.0,35.0,34.0,29.0,4.0,1.0,1.0,0
"(2020, 7)",13.0,10.0,7.0,19.0,43.0,18.0,10.0,17.0,38.0,51.0,32.0,8.0,0.0,0.0,0
"(2020, 8)",7.0,9.0,6.0,13.0,12.0,9.0,17.0,31.0,66.0,40.0,27.0,11.0,0.0,0.0,0
"(2020, 9)",13.0,8.0,9.0,17.0,13.0,5.0,34.0,22.0,52.0,86.0,41.0,4.0,0.0,0.0,0
"(2020, 10)",6.0,14.0,8.0,9.0,14.0,16.0,25.0,51.0,34.0,58.0,41.0,5.0,0.0,0.0,0
"(2020, 11)",5.0,8.0,6.0,9.0,10.0,19.0,49.0,80.0,51.0,74.0,40.0,5.0,0.0,0.0,0
"(2020, 12)",2.0,5.0,0.0,0.0,2.0,10.0,28.0,37.0,20.0,60.0,35.0,6.0,1.0,0.0,0
"(2020, 13)",0.0,4.0,5.0,0.0,7.0,0.0,9.0,18.0,36.0,63.0,33.0,8.0,0.0,0.0,0
"(2020, 14)",0.0,13.0,6.0,0.0,9.0,15.0,49.0,56.0,63.0,81.0,35.0,8.0,0.0,0.0,0
"(2020, 15)",0.0,1.0,1.0,0.0,16.0,32.0,76.0,80.0,122.0,87.0,30.0,0.0,0.0,0.0,0
"(2020, 16)",1.0,3.0,11.0,0.0,22.0,95.0,159.0,268.0,190.0,189.0,41.0,10.0,0.0,0.0,0
"(2020, 17)",2.0,7.0,5.0,13.0,44.0,108.0,299.0,516.0,448.0,239.0,59.0,5.0,0.0,0.0,0
"(2020, 18)",1.0,2.0,3.0,16.0,66.0,207.0,482.0,751.0,623.0,384.0,97.0,2.0,0.0,0.0,0
"(2020, 19)",0.0,13.0,5.0,8.0,84.0,247.0,571.0,929.0,822.0,525.0,114.0,2.0,0.0,0.0,0
"(2020, 20)",3.0,0.0,7.0,15.0,83.0,293.0,623.0,1047.0,947.0,646.0,143.0,11.0,0.0,0.0,0
"(2020, 21)",0.0,0.0,2.0,18.0,101.0,336.0,716.0,1114.0,1039.0,688.0,197.0,8.0,0.0,0.0,0
"(2020, 22)",0.0,8.0,10.0,29.0,101.0,329.0,716.0,1149.0,1111.0,749.0,200.0,9.0,0.0,0.0,0
"(2020, 23)",5.0,4.0,6.0,21.0,107.0,374.0,800.0,1113.0,1127.0,739.0,203.0,11.0,2.0,0.0,0
"(2020, 24)",9.0,10.0,15.0,22.0,145.0,355.0,773.0,1175.0,1122.0,761.0,192.0,8.0,0.0,0.0,0
"(2020, 25)",2.0,7.0,9.0,27.0,125.0,332.0,729.0,1171.0,1098.0,756.0,163.0,9.0,0.0,0.0,0
"(2020, 26)",5.0,5.0,8.0,17.0,129.0,329.0,669.0,974.0,978.0,718.0,159.0,16.0,0.0,0.0,0
"(2020, 27)",0.0,1.0,9.0,15.0,116.0,302.0,677.0,1047.0,1026.0,712.0,174.0,13.0,0.0,0.0,0
"(2020, 28)",6.0,5.0,8.0,24.0,97.0,338.0,734.0,1056.0,1094.0,773.0,192.0,13.0,0.0,0.0,0
"(2020, 29)",0.0,10.0,0.0,35.0,137.0,359.0,757.0,1186.0,1115.0,779.0,225.0,12.0,0.0,0.0,0
"(2020, 30)",1.0,3.0,10.0,30.0,89.0,341.0,780.0,1257.0,1090.0,818.0,213.0,13.0,0.0,0.0,0
"(2020, 31)",3.0,2.0,14.0,12.0,112.0,345.0,786.0,1234.0,1193.0,834.0,232.0,12.0,1.0,0.0,0
"(2020, 32)",7.0,0.0,17.0,36.0,110.0,397.0,869.0,1266.0,1153.0,872.0,233.0,9.0,0.0,0.0,0
"(2020, 33)",0.0,5.0,13.0,34.0,103.0,326.0,761.0,1185.0,1092.0,799.0,236.0,20.0,0.0,0.0,0
"(2020, 34)",4.0,8.0,9.0,22.0,97.0,280.0,642.0,954.0,1053.0,690.0,209.0,6.0,0.0,0.0,0
"(2020, 35)",6.0,4.0,7.0,23.0,67.0,233.0,516.0,881.0,833.0,638.0,200.0,16.0,0.0,0.0,0
"(2020, 36)",14.0,4.0,4.0,12.0,83.0,195.0,374.0,624.0,674.0,439.0,139.0,4.0,0.0,0.0,0
"(2020, 37)",2.0,7.0,10.0,11.0,59.0,142.0,339.0,538.0,469.0,426.0,110.0,9.0,0.0,0.0,0
"(2020, 38)",3.0,6.0,6.0,21.0,42.0,113.0,230.0,457.0,441.0,316.0,103.0,14.0,0.0,0.0,0
"(2020, 39)",2.0,3.0,11.0,35.0,26.0,86.0,203.0,341.0,335.0,215.0,61.0,5.0,0.0,0.0,0
"(2020, 40)",0.0,3.0,7.0,18.0,38.0,68.0,155.0,320.0,218.0,180.0,77.0,5.0,0.0,0.0,0
